state,x,y
Andhra Pradesh,-57,-112
Arunachal Pradesh,160,140
Assam,140,76
Bihar,42,55
Chhattisgarh,-15,-8
Goa,-161,-110
Gujarat,-180,25
Haryana,-110,120
Himachal Pradesh,-45,162
Jharkhand,18,24
Karnataka,-140,-125
Kerala,-85,-192
Madhya Pradesh,-110,18
Maharashtra,-138,-41
Manipur,200,53
Meghalaya,110,62
Mizoram,173,27
Nagaland,197,79
Odisha,28,-12
Punjab,-115,150
Rajasthan,-160,78
Sikkim,86,112
Tamil Nadu,-78,-183
Telangana,-70,-72
Tripura,139,24
Uttar Pradesh,-60,80
Uttarakhand,-15,135
West Bengal,96,21
